,nTotLand,cowsLUdensity,ShareGrassland,MonthManStore,soilSharePenriched,LowAppTechFD07,ShareMaize
p1,8.1445999,0.62599009,0.062431473,6,No,No,0.13840953
p2,8.1445999,0.62599009,0.062431473,6,No,No,0.13840953
p3,10.5869,0.70551008,0.080459774,6,No,No,0.16343163
p4,12.2604,0.77314919,0.095774442,6,No,No,0.18019341
p5,14,0.81799591,0.11643021,6,No,No,0.19600587
p6,15.719,0.85377562,0.13080099,6,No,No,0.20712815
p7,17.046101,0.90051639,0.14248921,6,No,No,0.22219115
p8,18.225201,0.92797017,0.15486741,6,No,No,0.23342928
p9,19.0928,0.95547414,0.16693845,6,No,No,0.2449531
p10,19.98,0.99153692,0.17579684,6,No,No,0.25545651
p11,21.7953,1.0088983,0.18611464,6,No,No,0.26470336
p12,23.459999,1.0331293,0.19932015,6,No,No,0.27470028
p13,24.549601,1.0574081,0.20819907,6,No,No,0.28509077
p14,25.6742,1.0793509,0.21723917,6,No,No,0.29337353
p15,27.375999,1.1064157,0.2245084,6,No,No,0.30144286
p16,28.8636,1.1275413,0.23576695,6,No,No,0.31238717
p17,30,1.1498793,0.24303649,6,No,No,0.31797445
p18,31.064199,1.1703548,0.25158155,6,No,No,0.32528871
p19,32.193699,1.1907756,0.25817302,6,No,No,0.33376861
p20,33.338001,1.2115297,0.26595113,6,No,No,0.342509
p21,34.358299,1.2240554,0.27412069,6,No,No,0.34979337
p22,35.330601,1.2445327,0.28155571,6,No,No,0.36016008
p23,36.258701,1.2614231,0.29251751,6,No,No,0.37042204
p24,37.290001,1.2783145,0.30169699,6,No,No,0.37795067
p25,38.705002,1.2957721,0.30953476,6,No,No,0.38434806
p26,39.749199,1.3129675,0.3177487,6,No,No,0.39130372
p27,40.806301,1.3328007,0.32446828,6,No,No,0.39939165
p28,41.4744,1.3480055,0.33243972,6,No,No,0.40673819
p29,42.599998,1.3628736,0.33824116,6,No,No,0.41257986
p30,43.548,1.3801078,0.3463822,6,No,No,0.41928676
p31,44.3013,1.3987387,0.35302052,6,No,No,0.42742318
p32,45.255199,1.4187951,0.3606694,6,No,No,0.43478259
p33,46.1759,1.4419321,0.36665154,6,No,No,0.43863508
p34,47,1.4590442,0.37449524,6,No,No,0.44376287
p35,48.0005,1.4773993,0.38243765,6,No,No,0.44896585
p36,49,1.4920853,0.38876998,6,No,No,0.45454547
p37,50,1.5092288,0.39607835,6,No,No,0.45898399
p38,51,1.5258543,0.40480807,6,No,No,0.46574962
p39,51.9991,1.5460747,0.41380918,6,No,No,0.47115412
p40,52.731998,1.5606142,0.42474151,6,No,No,0.47884119
p41,53.4543,1.5835394,0.43300974,6,No,No,0.48652542
p42,54.472801,1.6036015,0.44056603,6,No,No,0.49145174
p43,55.150002,1.6287332,0.45054501,6,No,No,0.49832144
p44,56,1.6473362,0.46012902,6,No,No,0.50056112
p45,56.773998,1.662006,0.46751109,6,No,No,0.50722301
p46,57.3316,1.6801007,0.47581917,8,No,No,0.51410496
p47,58.550499,1.6986669,0.48527786,8,Yes,No,0.51960266
p48,59.490398,1.7144773,0.49312523,8,Yes,No,0.52525979
p49,60.2827,1.7330751,0.50405413,8,Yes,No,0.53165346
p50,61.240002,1.751201,0.51183754,8,Yes,No,0.53720385
p51,61.970001,1.7734805,0.51996303,8,Yes,No,0.54133803
p52,62.8396,1.7928314,0.52799225,8,Yes,No,0.54779387
p53,63.811401,1.8126957,0.53604394,8,Yes,No,0.55483544
p54,64.5242,1.83341,0.5478344,8,Yes,No,0.56030917
p55,65.523003,1.8526039,0.56001121,8,Yes,Yes,0.56529176
p56,66.389999,1.8745993,0.57072568,8,Yes,Yes,0.57206398
p57,67.446602,1.8940217,0.58531713,8,Yes,Yes,0.5782972
p58,68.476799,1.912609,0.59949362,8,Yes,Yes,0.58342606
p59,69.311401,1.9314976,0.61115867,8,Yes,Yes,0.59151691
p60,70.25,1.9494257,0.62443507,8,Yes,Yes,0.59745407
p61,71.5,1.9673618,0.63477451,8,Yes,Yes,0.60019296
p62,72.5,1.9943596,0.64373446,8,Yes,Yes,0.60586751
p63,73.524902,2.020443,0.65725613,8,Yes,Yes,0.61305928
p64,74.544403,2.0411713,0.67293394,8,Yes,Yes,0.61868805
p65,75.319504,2.0631371,0.68735284,8,Yes,Yes,0.625
p66,76.455399,2.0891895,0.70019007,8,Yes,Yes,0.63576078
p67,77.7005,2.1134579,0.71134073,8,Yes,Yes,0.64172238
p68,79.122803,2.1443369,0.72496581,8,Yes,Yes,0.64771271
p69,80,2.1664288,0.73804295,8,Yes,Yes,0.65423262
p70,81.791,2.191242,0.75355345,8,Yes,Yes,0.66179067
p71,83.193298,2.2137992,0.76589864,8,Yes,Yes,0.66965872
p72,84.661201,2.2382095,0.77941829,8,Yes,Yes,0.67603409
p73,86,2.2649879,0.78851992,8,Yes,Yes,0.68308926
p74,87.900002,2.300132,0.80040485,8,Yes,Yes,0.68782705
p75,89.330002,2.3336642,0.81037915,8,Yes,Yes,0.69378245
p76,91.2192,2.3717391,0.82174963,8,Yes,Yes,0.70222986
p77,93.247101,2.4073038,0.83333331,8,Yes,Yes,0.7088052
p78,94.872803,2.4442797,0.84365052,8,Yes,Yes,0.71442729
p79,96.801697,2.479866,0.85681993,8,Yes,Yes,0.72001427
p80,98.204002,2.5099154,0.86693728,8,Yes,Yes,0.72615367
p81,100,2.5547032,0.87936896,8,Yes,Yes,0.73141259
p82,101.35,2.605063,0.8949852,8,Yes,Yes,0.73619443
p83,103.3536,2.645623,0.90810961,8,Yes,Yes,0.74193549
p84,106,2.6939399,0.92200404,8,Yes,Yes,0.74737275
p85,108.6995,2.7493651,0.93416721,8,Yes,Yes,0.75
p86,111.2756,2.8164403,0.95106292,8,Yes,Yes,0.76306516
p87,113.502,2.875613,0.97134423,8,Yes,Yes,0.78516233
p88,117.0024,2.9349248,0.99999994,8,Yes,Yes,0.82278413
p89,119.6864,3.0093682,0.99999994,8,Yes,Yes,0.8627736
p90,123.727,3.0812197,1,8,Yes,Yes,0.91685194
p91,128.3979,3.1947515,1,8,Yes,Yes,1
p92,133,3.2991374,1,8,Yes,Yes,1
p93,137.93291,3.4487755,1,8,Yes,Yes,1
p94,143.4754,3.5981514,1,8,Yes,Yes,1
p95,152.425,3.7601252,1,8,Yes,Yes,1
p96,161.7464,3.9042385,1,8,Yes,Yes,1
p97,171.0881,4.2245035,1,8,Yes,Yes,1
p98,189.77,4.6470251,1,8,Yes,Yes,1
p99,221.349,5.9369965,1,8,Yes,Yes,1
p100,221.349,5.9369965,1,8,Yes,Yes,1
