,nArabLand,fattnersLUdensity,MonthManStore,soilSharePenriched,LowAppTechFD07,ShareGrasland,ShareMaize
p1,6.836,1.1113102,6,No,No,0.003127286,0.062422071
p2,6.836,1.1113102,6,No,No,0.003127286,0.062422071
p3,7.6339998,1.1580681,6,No,No,0.004068195,0.078220107
p4,8.6160002,1.2,6,No,No,0.004755656,0.094827585
p5,10.21,1.2288315,6,No,No,0.005210579,0.11289807
p6,11.421,1.2621856,6,No,No,0.005851874,0.12947324
p7,12.603,1.2926819,6,No,No,0.006416234,0.14102243
p8,14.16,1.3191606,6,No,No,0.007169244,0.15070717
p9,15.033,1.3494277,6,No,No,0.007852701,0.15930259
p10,16.5,1.3697364,6,No,No,0.008596167,0.1646129
p11,17.476999,1.3930341,6,No,No,0.009428189,0.17448363
p12,18,1.4202267,6,No,No,0.009966504,0.1813895
p13,19.222,1.4401263,6,No,No,0.010555522,0.19006929
p14,20,1.4504157,6,No,No,0.011141854,0.20001136
p15,21.275,1.4673933,6,No,No,0.01192224,0.2037037
p16,22.002001,1.4891617,6,No,No,0.012535139,0.2102161
p17,22.765499,1.5045145,6,No,No,0.01315311,0.21682863
p18,23.9,1.5184817,6,No,No,0.01370403,0.2219467
p19,24.75,1.5378422,6,No,No,0.01437834,0.22846965
p20,25.309999,1.5556983,6,No,No,0.015132096,0.23404256
p21,26.0835,1.5720028,6,No,No,0.015779287,0.24008663
p22,27,1.5892599,6,No,No,0.016235126,0.24438867
p23,28,1.6055049,6,No,No,0.016875502,0.2503697
p24,29.191999,1.6203816,6,No,No,0.017801618,0.2574926
p25,29.922501,1.6366054,6,No,No,0.018600114,0.26211745
p26,30.591,1.6527839,6,No,No,0.019488113,0.2699604
p27,31.2735,1.6686481,6,No,No,0.020192035,0.27586207
p28,32.141998,1.6837043,6,No,No,0.020946374,0.28037384
p29,32.812,1.696665,6,No,No,0.021739131,0.28522688
p30,33.384998,1.7114023,6,No,No,0.022657778,0.29155535
p31,34,1.7272962,6,No,No,0.023362139,0.2959376
p32,34.911999,1.7438803,6,No,No,0.024404708,0.29922217
p33,35.7925,1.7690655,6,No,No,0.025118524,0.30508253
p34,36.558998,1.7833917,6,Yes,No,0.025905967,0.30898651
p35,37.6325,1.7948301,6,Yes,No,0.026836032,0.3125
p36,38.223999,1.8108997,6,Yes,No,0.027773578,0.3180995
p37,38.8965,1.825567,6,Yes,No,0.029086398,0.32353887
p38,39.441002,1.8400255,6,Yes,No,0.029973708,0.32843956
p39,40.060501,1.8547289,6,Yes,No,0.030699784,0.33183855
p40,40.610001,1.872,6,Yes,No,0.031474221,0.33522728
p41,41.646999,1.8912619,6,Yes,No,0.032173507,0.34211698
p42,42.349998,1.9052181,6,Yes,No,0.032960098,0.34726721
p43,43.370998,1.9203585,6,Yes,No,0.033944655,0.35205877
p44,44.096001,1.9397585,6,Yes,No,0.035677556,0.35658336
p45,44.827499,1.954913,6,Yes,No,0.036960382,0.36275142
p46,45.325001,1.9794116,8,Yes,No,0.038050868,0.36971354
p47,45.991501,2.0017407,8,Yes,No,0.039530337,0.37326869
p48,46.594002,2.0210342,8,Yes,No,0.040499378,0.37790698
p49,47.560501,2.0373158,8,Yes,No,0.041714747,0.38329881
p50,48.195,2.0551577,8,Yes,No,0.04280271,0.38911146
p51,48.938,2.0735373,8,Yes,No,0.044840131,0.39374596
p52,49.939999,2.09442,8,Yes,Yes,0.046199985,0.39937401
p53,50.523998,2.117018,8,Yes,Yes,0.047606025,0.40422076
p54,51.125999,2.1434276,8,Yes,Yes,0.049415629,0.40808904
p55,52,2.1594243,8,Yes,Yes,0.051247735,0.41387573
p56,52.702,2.1781373,8,Yes,Yes,0.052631579,0.42095914
p57,53.7925,2.1954708,8,Yes,Yes,0.053753626,0.42645717
p58,54.5,2.2105451,8,Yes,Yes,0.054974884,0.43246704
p59,55.254002,2.2367105,8,Yes,Yes,0.056144893,0.43837616
p60,56.139999,2.252172,8,Yes,Yes,0.057342466,0.44309491
p61,57.004501,2.2754674,8,Yes,Yes,0.058400054,0.44883022
p62,58,2.2977502,8,Yes,Yes,0.060293134,0.45454547
p63,59.421001,2.3150845,8,Yes,Yes,0.06226955,0.46499097
p64,60.279999,2.3381431,8,Yes,Yes,0.063618734,0.47066885
p65,60.985001,2.3565347,8,Yes,Yes,0.064771086,0.47611046
p66,61.974998,2.3826253,8,Yes,Yes,0.067131348,0.48166406
p67,62.638,2.4047351,8,Yes,Yes,0.069827013,0.48756629
p68,64.234001,2.430454,8,Yes,Yes,0.07217972,0.49254984
p69,65.653,2.4554172,8,Yes,Yes,0.075599797,0.49670237
p70,67,2.4772625,8,Yes,Yes,0.077490754,0.5
p71,68.087997,2.5016944,8,Yes,Yes,0.080245681,0.50378644
p72,69.982002,2.5294085,8,Yes,Yes,0.083482876,0.50882351
p73,70.990997,2.5508409,8,Yes,Yes,0.086794294,0.51375145
p74,72.069,2.5765061,8,Yes,Yes,0.090097778,0.52050257
p75,73.4925,2.6081953,8,Yes,Yes,0.094163671,0.52502686
p76,74.519997,2.6403484,8,Yes,Yes,0.0995,0.53325033
p77,75.809998,2.6722865,8,Yes,Yes,0.1065328,0.53720796
p78,76.912003,2.6991086,8,Yes,Yes,0.11207287,0.54411763
p79,77.977501,2.7399182,8,Yes,Yes,0.11664745,0.54912823
p80,79.349998,2.7713625,8,Yes,Yes,0.12221974,0.55844158
p81,81.024498,2.8122172,8,Yes,Yes,0.12603697,0.56180453
p82,82.319,2.850565,8,Yes,Yes,0.1306203,0.57282448
p83,83.764,2.8823721,8,Yes,Yes,0.13847202,0.58407068
p84,85.718002,2.9250977,8,Yes,Yes,0.15121785,0.5925926
p85,87.822502,2.9792626,8,Yes,Yes,0.15792833,0.60622162
p86,90,3.0271091,8,Yes,Yes,0.16641557,0.6153301
p87,92.164001,3.0609045,8,Yes,Yes,0.17893331,0.63001013
p88,94.424004,3.1242909,8,Yes,Yes,0.18598975,0.64285713
p89,96.7705,3.1701443,8,Yes,Yes,0.2,0.65749145
p90,99.474998,3.2585163,8,Yes,Yes,0.21262576,0.67233115
p91,102.3565,3.3222396,8,Yes,Yes,0.23063025,0.68612468
p92,105.116,3.4499493,8,Yes,Yes,0.24624403,0.69714284
p93,109.2675,3.6121337,8,Yes,Yes,0.2699092,0.71076161
p94,114.006,3.8140917,8,Yes,Yes,0.29017663,0.72162956
p95,118,4.0738707,8,Yes,Yes,0.33420825,0.73376203
p96,123.124,4.5864868,8,Yes,Yes,0.38940486,0.74889868
p97,129.4785,5.4718809,8,Yes,Yes,0.46705383,0.77563345
p98,141.005,8.1223545,8,Yes,Yes,0.56560886,0.87958419
p99,159.05099,14.820378,8,Yes,Yes,1,1
p100,159.05099,14.820378,8,Yes,Yes,1,1
